----------------------------------------
Begin PBS Prologue Tue Apr  4 16:17:26 EDT 2017 1491337046
Job ID:		86426087.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-2r12-n60
End PBS Prologue Tue Apr  4 16:17:26 EDT 2017 1491337046
----------------------------------------
PHiPerSolver available.
Max OMP threads = 1
Preconditioner choice: f
Preconditioner: Number of sweeps = 2, 2
Domain boundaries in each dimension:
-1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 
CartMesh: Number of points in each direction: 60 60 60 
CartMesh: Setting up DMDA
CartMesh: Total points = 216000, interior points = 195112, total number of partitions = 1
CartMesh: generateMesh_cheb: Generating grid
CartMesh: generateMesh_Cheb: h = 0.092216
ComputeRHS: Starting
ComputeRHS: Done
ComputeLHS: Setting values of the LHS matrix...
ComputeLHS: Done.
Using FGPILU as preconditioner.
compute_fgpilu_local(): First-time setup
compute_fgpilu_local: Factorizing. 2 build sweeps, chunk size is 1024 threads.
193 KSP Residual norm 1.302372583087e-05 
194 KSP Residual norm 1.264794167703e-05 
195 KSP Residual norm 1.228689236137e-05 
196 KSP Residual norm 1.193990358386e-05 
197 KSP Residual norm 1.160633272628e-05 
198 KSP Residual norm 1.128556740080e-05 
199 KSP Residual norm 1.097702406475e-05 
200 KSP Residual norm 1.068014669896e-05 
201 KSP Residual norm 1.039440554622e-05 
202 KSP Residual norm 1.011929591126e-05 
203 KSP Residual norm 9.854337007617e-06 
204 KSP Residual norm 9.599070862365e-06 
205 KSP Residual norm 9.353061266744e-06 
206 KSP Residual norm 9.115892773254e-06 
207 KSP Residual norm 8.887169740197e-06 
208 KSP Residual norm 8.666515411474e-06 
209 KSP Residual norm 8.453571045353e-06 
210 KSP Residual norm 8.247995071572e-06 
211 KSP Residual norm 8.049462295885e-06 
212 KSP Residual norm 7.857663129614e-06 
213 KSP Residual norm 7.672302858847e-06 
214 KSP Residual norm 7.493100942555e-06 
215 KSP Residual norm 7.319790342718e-06 
216 KSP Residual norm 7.152116882738e-06 
217 KSP Residual norm 6.989838636451e-06 
218 KSP Residual norm 6.832725339153e-06 
219 KSP Residual norm 6.680557830374e-06 
220 KSP Residual norm 6.533127516198e-06 
221 KSP Residual norm 6.390235860032e-06 
222 KSP Residual norm 6.251693892828e-06 
223 KSP Residual norm 6.117321747706e-06 
224 KSP Residual norm 5.986948212327e-06 
225 KSP Residual norm 5.860410307106e-06 
226 KSP Residual norm 5.737552876574e-06 
227 KSP Residual norm 5.618228205583e-06 
228 KSP Residual norm 5.502295647443e-06 
229 KSP Residual norm 5.389621274429e-06 
230 KSP Residual norm 5.280077542645e-06 
231 KSP Residual norm 5.173542971086e-06 
232 KSP Residual norm 5.069901840335e-06 
233 KSP Residual norm 4.969043900365e-06 
234 KSP Residual norm 4.870864097918e-06 
235 KSP Residual norm 4.775262312195e-06 
236 KSP Residual norm 4.682143107878e-06 
237 KSP Residual norm 4.591415495672e-06 
238 KSP Residual norm 4.502992709242e-06 
239 KSP Residual norm 4.416791990896e-06 
240 KSP Residual norm 4.332734386157e-06 
241 KSP Residual norm 4.250744554556e-06 
242 KSP Residual norm 4.170750581955e-06 
243 KSP Residual norm 4.092683810982e-06 
244 KSP Residual norm 4.016478671080e-06 
245 KSP Residual norm 3.942072526330e-06 
246 KSP Residual norm 3.869405523269e-06 
247 KSP Residual norm 3.798420452625e-06 
248 KSP Residual norm 3.729062613746e-06 
249 KSP Residual norm 3.661279687515e-06 
250 KSP Residual norm 3.595021620522e-06 
251 KSP Residual norm 3.530240503364e-06 
252 KSP Residual norm 3.466890470106e-06 
253 KSP Residual norm 3.404927591820e-06 
254 KSP Residual norm 3.344309782239e-06 
255 KSP Residual norm 3.284996703156e-06 
256 KSP Residual norm 3.226949680707e-06 
257 KSP Residual norm 3.170131619243e-06 
258 KSP Residual norm 3.114506926497e-06 
259 KSP Residual norm 3.060041438856e-06 
260 KSP Residual norm 3.006702350702e-06 
261 KSP Residual norm 2.954458147892e-06 
262 KSP Residual norm 2.903278546326e-06 
263 KSP Residual norm 2.853134432634e-06 
264 KSP Residual norm 2.803997804670e-06 
265 KSP Residual norm 2.755841722406e-06 
