----------------------------------------
Begin PBS Prologue Tue Apr  4 17:04:05 EDT 2017 1491339845
Job ID:		86431635.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-2r12-n60
End PBS Prologue Tue Apr  4 17:04:05 EDT 2017 1491339845
----------------------------------------
Max OMP threads = 4
Preconditioner choice: f
Preconditioner: Number of sweeps = 2, 2
Domain boundaries in each dimension:
-1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 
CartMesh: Number of points in each direction: 60 60 60 
CartMesh: Setting up DMDA
CartMesh: Total points = 216000, interior points = 195112, total number of partitions = 1
CartMesh: generateMesh_cheb: Generating grid
CartMesh: generateMesh_Cheb: h = 0.092216
ComputeRHS: Starting
ComputeRHS: Done
ComputeLHS: Setting values of the LHS matrix...
ComputeLHS: Done.
Using FGPILU as preconditioner.
compute_fgpilu_local(): First-time setup
compute_fgpilu_local: Factorizing. 2 build sweeps, chunk size is 1024 threads.
186 KSP Residual norm 1.610854757843e-05 
187 KSP Residual norm 1.560804891214e-05 
188 KSP Residual norm 1.512776613875e-05 
189 KSP Residual norm 1.466660595421e-05 
190 KSP Residual norm 1.422496176129e-05 
191 KSP Residual norm 1.380059666093e-05 
192 KSP Residual norm 1.339333223688e-05 
193 KSP Residual norm 1.300220517805e-05 
194 KSP Residual norm 1.262651354007e-05 
195 KSP Residual norm 1.226555603710e-05 
196 KSP Residual norm 1.191617776615e-05 
197 KSP Residual norm 1.158533590173e-05 
198 KSP Residual norm 1.126466358993e-05 
199 KSP Residual norm 1.095624207444e-05 
200 KSP Residual norm 1.065948847818e-05 
201 KSP Residual norm 1.037388608410e-05 
202 KSP Residual norm 1.009891490236e-05 
203 KSP Residual norm 9.834096030741e-06 
204 KSP Residual norm 9.578968809457e-06 
205 KSP Residual norm 9.333119398732e-06 
206 KSP Residual norm 9.095963224851e-06 
207 KSP Residual norm 8.867547769112e-06 
208 KSP Residual norm 8.647061702696e-06 
209 KSP Residual norm 8.434276366945e-06 
210 KSP Residual norm 8.228866075822e-06 
211 KSP Residual norm 8.030508338059e-06 
212 KSP Residual norm 7.838884193808e-06 
213 KSP Residual norm 7.653700872169e-06 
214 KSP Residual norm 7.474679252138e-06 
215 KSP Residual norm 7.301550642047e-06 
216 KSP Residual norm 7.134061160458e-06 
217 KSP Residual norm 6.971968176080e-06 
218 KSP Residual norm 6.815042422258e-06 
219 KSP Residual norm 6.663066933628e-06 
220 KSP Residual norm 6.515825055930e-06 
221 KSP Residual norm 6.373121901195e-06 
222 KSP Residual norm 6.234771982479e-06 
223 KSP Residual norm 6.100576385010e-06 
